pmid,pmcid,pmc_url
11678537,,
11766091,,
11880801,,
12017183,,
12139268,,
12154770,,
12656848,,
12656867,,
12848712,,
15362317,,
15562172,PMC1724969,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1724969/
15643760,,
15853840,,
16118304,PMC1725322,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1725322/
16643287,,
16872385,,
17194069,,
17227375,,
17511835,,
17846669,,
18173668,,
18254,PMC1859511,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1859511/
18352919,,
18352922,,
18721342,,
18821955,,
19021650,,
19021660,,
19208013,,
19208022,,
19302200,,
19615582,,
1982928,PMC1478899,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1478899/
19925982,PMC2782766,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2782766/
20089070,,
20493614,,
20572841,,
20666978,,
20669600,,
20946344,,
21199336,,
21755701,,
21790975,,
21880516,,
22107072,,
22882839,,
23311956,,
23374909,,
23534038,,
24198704,PMC3809047,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3809047/
24505897,,
24890132,,
25244279,,
25416466,,
25536987,,
25600092,,
25721283,,
26058666,,
2638006,,
26542314,,
26545273,,
26678302,,
26939219,,
27015854,,
27622524,,
28160512,,
2893649,PMC1478470,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1478470/
2907269,,
30156365,,
30431180,,
31884077,,
31994310,,
32794620,,
33188561,,
33220143,,
34047017,,
34343071,,
36327493,,
36538371,,
36922269,,
37055924,,
37341423,,
37431232,,
37791703,,
38084787,,
39060115,,
39630092,,
40662680,,
41087084,,
6130812,PMC1858920,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1858920/
9566015,,
